"","V1","V2"
"288","models","model"
"289","monitor","monitor"
"290","monitoring","monitor"
"291","motor","motor"
"292","mt","motor"
"293","mtl","metal"
"294","mtr","motor"
"295","nan","nan"
"296","nans","nan"
"297","nde","nde"
"298","notification","notification"
"299","nox","nox"
"300","ob","ob"
"301","observed","observed"
"302","occasionally","occasionally"
"303","occured","occured"
"304","occurring","occured"
"305","oil","oil"
"306","ongoing","ongoing"
"307","op","op"
"308","operational","operational"
"309","oscillating","oscillating"
"310","outboard","outboard"
"311","outer","outer"
"312","outlet","outlet"
"313","par","par"
"314","pattern","pattern"
"315","pdi","pdi"
"316","peak","peak"
"317","peaked","peak"
"318","peaks","peak"
"319","perf","performance"
"320","performance","performance"
"321","periodically","periodically"
"322","periods","periodically"
"323","persist","persist"
"324","persisted","persist"
"325","persists","persist"
"326","ph","ph"
"327","phase","phase"
"328","pi","pi"
"329","piston","piston"
"330","pmp","pump"
"331","poor","poor"
"332","poorly","poor"
"333","pos","position"
"334","position","position"
"335","positions","position"
"336","positive","position"
"337","post","post"
"338","posted","post"
"339","power","power"
"340","prc","prc"
"341","predicted","predicted"
"342","prediction","predicted"
"343","predictions","predicted"
"344","prefilter","prefilter"
"345","preheater","preheater"
"346","press","pressure"
"347","pressure","pressure"
"348","pressures","pressure"
"349","pretty","pretty"
"350","priority","priority"
"351","probe","probe"
"352","probes","probe"
"353","process","process"
"354","producing","producing"
"355","projected","projected"
"356","prox","prox"
"357","pump","pump"
"358","pumps","pump"
"359","purity","purity"
"360","pv","pv"
"361","radial","radial"
"362","ramp","ramp"
"363","range","range"
"364","ranged","range"
"365","ranges","range"
"366","ranging","range"
"367","rapid","rapid"
"368","rapidly","rapid"
"369","rd","rd"
"370","reaches","reaches"
"371","reaching","reaches"
"372","read","read"
"373","reading","read"
"374","readings","read"
"375","reads","read"
"376","rear","rear"
"377","recirc","recirc"
"378","recovered","recovered"
"379","recycle","recycle"
"380","rel","rel"
"381","relatively","relatively"
"382","remained","remained"
"383","removed","removed"
"384","repaired","repair"
"385","reporting","reporting"
"386","residual","residual"
"387","residuals","residual"
"388","resolve","resolve"
"389","restart","restart"
"390","restarted","restart"
"391","returns","returns"
"392","rh","rh"
"393","rising","rising"
"394","rose","rose"
"395","rot","rot"
"396","rotor","rotor"
"397","rtd","rtd"
"398","run","run"
"399","sample","sample"
"400","sat","sat"
"401","seal","seal"
"402","seis","seismic"
"403","sensor","sensor"
"404","sensors","sensor"
"405","servo","servo"
"406","sh","sh"
"407","shaft","shaft"
"408","shell","shell"
"409","shield","shield"
"410","shifted","shifted"
"411","shifts","shifted"
"412","short","short"
"413","siemens","siemens"
"414","signal","signal"
"415","silica","silica"
"416","slight","slight"
"417","slowly","slowly"
"418","smartsignal","smartsignal"
"419","sodium","sodium"
"420","sp","sp"
"421","spec","spec"
"422","speed","speed"
"423","spike","spike"
"424","spiked","spike"
"425","spikes","spike"
"426","spiking","spike"
"427","spray","spray"
"428","spread","spread"
"429","spreads","spread"
"430","ssc","ssc"
"431","st","st"
"432","stack","stack"
"433","start","start"
"434","starts","start"
"435","startup","startup"
"436","startups","startup"
"437","stator","stator"
"438","steadily","steadily"
"439","steady","steady"
"440","steam","steam"
"441","step","step"
"442","stepped","step"
"443","stepping","step"
"444","stg","stage"
"445","stm","stm"
"446","stopped","stopped"
"447","strainer","strainer"
"448","street","street"
"449","stripe","stripe"
"450","strut","strut"
"451","suction","suction"
"452","sump","sump"
"453","superheater","superheater"
"454","swinging","swinging"
"455","tag","tag"
"456","tags","tag"
"457","tank","tank"
"458","tc","thermocouple"
"459","temp","temperature"
"460","temperature","temperature"
"461","temps","temperature"
"462","th","th"
"463","thermocouple","thermocouple"
"464","thermocouples","thermocouple"
"465","threshold","threshold"
"466","throughout","throughout"
"467","thrust","thrust"
"468","ti","ti"
"469","tia","tia"
"470","timeframe","timeframe"
"471","tmp","temperature"
"472","tower","tower"
"473","towers","tower"
"474","traced","traced"
"475","track","track"
"476","tracked","track"
"477","tracking","track"
"478","tracks","track"
"479","train","train"
"480","trained","train"
"481","transmitter","transmitter"
"482","transmitters","transmitter"
"483","trend","trend"
"484","trended","trend"
"485","trending","trend"
"486","trip","trip"
"487","truck","truck"
"488","tt","tt"
"489","ttwsao","ttwsao"
"490","ttxd","ttxd"
"491","tube","tube"
"492","turb","turbine"
"493","turbine","turbine"
"494","turbines","turbine"
"495","unchanged","unchanged"
"496","unit","unit"
"497","upward","upward"
"498","values","values"
"499","valve","valve"
"500","valves","valve"
"501","variable","variable"
"502","varying","varying"
"503","vent","vent"
"504","versus","versus"
"505","vib","vibration"
"506","vibe","vibe"
"507","vibes","vibe"
"508","vibration","vibration"
"509","vibrations","vibration"
"510","vibs","vibration"
"511","vlv","valve"
"512","voltage","volts"
"513","water","water"
"514","waterbox","waterbox"
"515","wheel","wheel"
"516","wheelspace","wheelspace"
"517","wind","wind"
"518","winding","wind"
"519","wsao","wsao"
"520","wtr","water"
"521","xmtr","xmtr"
"522","xq","xq"
"523","cp","cp"
"524","cep","cep"
"525","agb","agb"
"526","vert","vertical"
"527","magnetic","magnetic"
"528","smart","smart"
"529","unstable","unstable"
"530","acoustic","acoustic"
"531","gradual","gradual"
"532","rr","rr"
"533","vertical","vertical"
"534","reliable","reliable"
"535","apparent","apparent"
"536","fwpb","fwpb"
"537","gec","gec"
"538","castellon","castellon"
"539","notable","notable"
"540","upset","upset"
"541","gtdl","gtdl"
"542","chip","chip"
"543","packing","packing"
"544","alternator","alternator"
"545","expander","expander"
"546","separator","separator"
"547","amplitude","amplitude"
"548","scrubber","scrubber"
"549","tunnel","tunnel"
"550","scanner","scanner"
"551","transducer","transducer"
"552","velocity","velocity"
"553","fpt","fpt"
"554","fp","fp"
"555","intercooler","intercooler"
"556","scavenge","scavenge"
"557","pulv","pulverizer"
"558","cst","cst"
"559","gaphoss","gaphoss"
"560","lcv","lcv"
"561","angle","angle"
"562","reservoir","reservoir"
"563","rule","rule"
"564","bd","bd"
"565","inbrd","inbrd"
"566","srv","srv"
"567","turbo","turbo"
"568","cdt","cdt"
"569","enclosure","enclosure"
"570","intensity","intensity"
"571","oxygen","oxygen"
"572","bed","bed"
"573","charge","charge"
"574","device","device"
"575","fcv","fcv"
"576","cell","cell"
"577","filters","filter"
"578","mark","mark"
"579","nacelle","nacelle"
"580","pulverizer","pulverizer"
"581","teg","teg"
"582","vacuum","vacuum"
"583","bst","bst"
"584","cut","cut"
"585","fairly","fairly"
"586","horiz","horizontal"
"587","para","para"
"588","pc","pc"
"589","reheat","reheat"
"590","thresholds","threshold"
"591","trucks","truck"
"592","box","box"
"593","brgx","bearing"
"594","downwards","downward"
"595","fwpa","fwpa"
"596","nearly","nearly"
"597","plant","plant"
"598","server","server"
"599","brgy","bearing"
"600","comb","comb"
"601","egt","egt"
"602","health","health"
"603","reactive","reactive"
"604","reboiler","reboiler"
"605","repair","repair"
"606","setpoint","setpoint"
"607","tcaphoss","tcaphoss"
"608","upwards","upward"
"609","advisories","advisories"
"610","barrel","barrel"
"611","beds","bed"
"612","exchanger","exchanger"
"613","export","export"
"614","instruments","instrument"
"615","investigation","investigation"
"616","loop","loop"
"617","pri","pri"
"618","scr","scr"
"619","seals","seal"
"620","model estimate","model estimate"
"621","bearing temp","bearing temperature"
"622","thrust bearing","thrust bearing"
"623","bearing temperature","bearing temperature"
"624","lube oil","lube oil"
"625","bearing metal","bearing metal"
"626","hp drum","hp drum"
"627","valve position","valve position"
"628","bearing vibrations","bearing vibration"
"629","ip drum","ip drum"
"630","metal temp","metal temperature"
"631","axial position","axial position"
"632","model prediction","model predicted"
"633","generator bearing","generator bearing"
"634","fuel gas","fuel gas"
"635","control valve","control valve"
"636","outlet temp","outlet temperature"
"637","model estimates","model estimate"
"638","brg vib","bearing vibration"
"639","metal temperature","metal temperature"
"640","filter dp","filter dp"
"641","bearing vibration","bearing vibration"
"642","exhaust temp","exhaust temperature"
"643","brg temp","bearing temperature"
"644","condition persists","condition persist"
"645","gen bearing","generator bearing"
"646","model predictions","model predicted"
"647","lp drum","lp drum"
"648","outlet temperature","outlet temperature"
"649","mtl temp","metal temperature"
"650","bearing temps","bearing temperature"
"651","exhaust spread","exhaust spread"
"652","drain temp","drain temperature"
"653","model predicted","model predicted"
"654","issue persists","issue persist"
"655","ambient temperature","ambient temperature"
"656","thrust brg","thrust bearing"
"657","duct burner","duct burner"
"658","brg mtl","bearing metal"
"659","motor current","motor current"
"660","steam flow","steam flow"
"661","unit start","unit start"
"662","differential pressure","differential pressure"
"663","exhaust tc","exhaust thermocouple"
"664","inlet pressure","inlet pressure"
"665","nde bearing","nde bearing"
"666","unit run","unit run"
"667","inlet temp","inlet temperature"
"668","discharge pressure","discharge pressure"
"669","drum ph","drum ph"
"670","ob bearing","ob bearing"
"671","oil pressure","oil pressure"
"672","performance tag","performance tag"
"673","turbine bearing","turbine bearing"
"674","gross load","gross load"
"675","de bearing","de bearing"
"676","motor stator","motor stator"
"677","model performance","model performance"
"678","oil drain","oil drain"
"679","temp decreased","temperature decrease"
"680","drum fw","drum fw"
"681","fw flow","fw flow"
"682","hydrogen purity","hydrogen purity"
"683","ip steam","ip steam"
"684","ib bearing","ib bearing"
"685","vibration sensor","vibration sensor"
"686","exhaust temperature","exhaust temperature"
"687","oil temperature","oil temperature"
"688","compressor inlet","compressor inlet"
"689","oil filter","oil filter"
"690","stator temp","stator temperature"
"691","suction temperature","suction temperature"
"692","de seal","de seal"
"693","gradually increasing","gradual increase"
"694","ob brg","ob bearing"
"695","journal bearing","journal bearing"
"696","discharge temperature","discharge temperature"
"697","ib brg","ib bearing"
"698","gas flow","gas flow"
"699","reporting values","reporting values"
"700","oil temp","oil temperature"
"701","thrust position","thrust position"
"702","lp steam","lp steam"
"703","ao temp","ao temperature"
"704","hp steam","hp steam"
"705","ammonia flow","ammonia flow"
"706","inactive thrust","inactive thrust"
"707","low load","low load"
"708","seal outlet","seal outlet"
"709","mechanical tag","mechanical tag"
"710","nde seal","nde seal"
"711","gas temp","gas temperature"
"712","wind speed","wind speed"
"713","inlet temperature","inlet temperature"
"714","motor ib","motor ib"
"715","condition continues","condition continues"
"716","outlet flow","outlet flow"
"717","seal oil","seal oil"
"718","bearing drain","bearing drain"
"719","fuel delivery","fuel delivery"
"720","delivery pressure","delivery pressure"
"721","rotor fan","rotor fan"
"722","unit restart","unit restart"
"723","inlet bleed","inlet bleed"
"724","lo temp","lo temperature"
"725","spray flow","spray flow"
"726","steam temperature","steam temperature"
"727","wind turbine","wind turbine"
"728","diff press","difference pressure"
"729","model model","model model"
"730","reading erratic","read erratic"
"731","seal gas","seal gas"
"732","hp fw","hp fw"
"733","oil cooler","oil cooler"
"734","strut pressure","strut pressure"
"735","bearing vib","bearing vibration"
"736","bearing oil","bearing oil"
"737","bleed heat","bleed heat"
"738","brg metal","bearing metal"
"739","pump ib","pump ib"
"740","sensor issue","sensor issue"
"741","gas pressure","gas pressure"
"742","valve differential","valve differential"
"743","condition cleared","condition cleared"
"744","performance alias","performance alias"
"745","tracking erratically","track erratic"
"746","persists issue","persist issue"
"747","temp range","temperature range"
"748","temperature spread","temperature spread"
"749","suction pressure","suction pressure"
"750","model perf","model performance"
"751","reading erratically","read erratic"
"752","drain temperature","drain temperature"
"753","pump ob","pump ob"
"754","model mechanical","model mechanical"
"755","motor ob","motor ob"
"756","steam turbine","steam turbine"
"757","valve demand","valve demand"
"758","temp stepped","temperature step"
"759","pressure steam","pressure steam"
"760","gear bearing","gear bearing"
"761","ip fw","ip fw"
"762","spray valve","spray valve"
"763","steam temp","steam temperature"
"764","winding temp","wind temperature"
"765","fuel pressure","fuel pressure"
"766","hrsg hp","hrsg hp"
"767","hrsg inlet","hrsg inlet"
"768","metal temps","metal temperature"
"769","motor bearing","motor bearing"
"770","nde brg","nde bearing"
"771","gas control","gas control"
"772","pressure decreased","pressure decrease"
"773","faulted data","faulted data"
"774","valve pos","valve position"
"775","cooling air","cooling air"
"776","discharge flow","discharge flow"
"777","drain valve","drain valve"
"778","exhaust gas","exhaust gas"
"779","fw pump","fw pump"
"780","gas temperature","gas temperature"
"781","rear strut","rear strut"
"782","turbine exhaust","turbine exhaust"
"783","inlet gas","inlet gas"
"784","motor winding","motor wind"
"785","air temp","air temperature"
"786","fan dp","fan dp"
"787","heat valve","heat valve"
"788","inlet filter","inlet filter"
"789","reading lower","read lower"
"790","temperature sensor","temperature sensor"
"791","gen brg","generator bearing"
"792","bearing axial","bearing axial"
"793","diff cv","difference cv"
"794","exhaust temps","exhaust temperature"
"795","hrsg outlet","hrsg outlet"
"796","gearbox oil","gearbox oil"
"797","rear gen","rear generator"
"798","discharge temp","discharge temperature"
"799","flat lined","flat lined"
"800","lower load","lower load"
"801","de nde","de nde"
"802","delta press","delta pressure"
"803","winding temps","wind temperature"
"804","ambient temp","ambient temperature"
"805","gas outlet","gas outlet"
"806","gradually decreasing","gradual decrease"
"807","recirc valve","recirc valve"
"808","de brg","de bearing"
"809","ip blowdown","ip blowdown"
"810","model gas","model gas"
"811","temperature decreased","temperature decrease"
"812","air flow","air flow"
"813","coolant pressure","coolant pressure"
"814","cooler outlet","cooler outlet"
"815","temperature nde","temperature nde"
"816","turb brg","turbine bearing"
"817","hs rot","hs rot"
"818","ims gen","ims generator"
"819","turbine speed","turbine speed"
"820","hot air","hot air"
"821","water flow","water flow"
"822","brg oil","bearing oil"
"823","inlet air","inlet air"
"824","outboard bearing","outboard bearing"
"825","pressure core","pressure core"
"826","steadily increasing","steadily increase"
"827","buffer gas","buffer gas"
"828","fan ib","fan ib"
"829","flame detector","flame detector"
"830","gas press","gas pressure"
"831","radial bearing","radial bearing"
"832","reading flatlined","read flatline"
"833","trained data","train data"
"834","hrsg ip","hrsg ip"
"835","prefilter fuel","prefilter fuel"
"836","pump discharge","pump discharge"
"837","recycle valve","recycle valve"
"838","temp bearing","temperature bearing"
"839","trending low","trend low"
"840","vibration tags","vibration tag"
"841","drain temps","drain temperature"
"842","exhaust pressure","exhaust pressure"
"843","flow decreased","flow decrease"
"844","fw pmp","fw pump"
"845","gas inlet","gas inlet"
"846","gt vibration","gt vibration"
"847","historical values","historical values"
"848","motor nde","motor nde"
"849","steam pressure","steam pressure"
"850","steam sodium","steam sodium"
"851","temp spread","temperature spread"
"852","attemperator spray","attemperator spray"
"853","bearing position","bearing position"
"854","brg temps","bearing temperature"
"855","gearbox bearing","gearbox bearing"
"856","hrsg drum","hrsg drum"
"857","burner spread","burner spread"
"858","cooling tower","cooling tower"
"859","hp attemperator","hp attemperator"
"860","hrsg stack","hrsg stack"
"861","industrial prc","industrial prc"
"862","outlet temps","outlet temperature"
"863","rel vib","rel vibration"
"864","spec conductivity","spec conductivity"
"865","stator temperature","stator temperature"
"866","wheelspace temp","wheelspace temperature"
"867","burner outlet","burner outlet"
"868","cat cond","cat cond"
"869","hp attemp","hp attemperator"
"870","ims rot","ims rot"
"871","inboard bearing","inboard bearing"
"872","positive residuals","position residual"
"873","pressure dropped","pressure dropped"
"874","steam alias","steam alias"
"875","steam tag","steam tag"
"876","temperature differential","temperature differential"
"877","turbine temperature","turbine temperature"
"878","drum conductivity","drum conductivity"
"879","hot gas","hot gas"
"880","coal flow","coal flow"
"881","compressor outlet","compressor outlet"
"882","exh temp","exhaust temperature"
"883","flow valve","flow valve"
"884","flue gas","flue gas"
"885","spec cond","spec cond"
"886","strainer dp","strainer dp"
"887","air delta","air delta"
"888","burner fuel","burner fuel"
"889","ch vib","ch vibration"
"890","condensate pump","condensate pump"
"891","delta temp","delta temperature"
"892","hp sh","hp sh"
"893","max spread","maximum spread"
"894","outlet pressure","outlet pressure"
"895","steam drum","steam drum"
"896","stepped low","step low"
"897","suction temp","suction temperature"
"898","antisurge valve","antisurge valve"
"899","data trained","data train"
"900","fo temp","fo temperature"
"901","fuel flow","fuel flow"
"902","oil tank","oil tank"
"903","slowly increasing","slowly increase"
"904","temperature wheelspace","temperature wheelspace"
"905","axial probe","axial probe"
"906","chip detector","chip detector"
"907","exhaust spreads","exhaust spread"
"908","exhaust thermocouple","exhaust thermocouple"
"909","performance model","performance model"
"910","pump de","pump de"
"911","steam silica","steam silica"
"912","tracking model","track model"
"913","wheelspace ao","wheelspace ao"
"914","condenser backpressure","condensate backpressure"
"915","displaying erratic","displaying erratic"
"916","generator temp","generator temperature"
"917","injection flow","injection flow"
"918","mass flow","mass flow"
"919","model mech","model mechanical"
"920","model tag","model tag"
"921","outlet gas","outlet gas"
"922","pump thrust","pump thrust"
"923","stator temps","stator temperature"
"924","temp ti","temperature ti"
"925","ti pv","ti pv"
"926","winding temperature","wind temperature"
"927","blowdown silica","blowdown silica"
"928","combustion performance","combustion performance"
"929","ctrl vlv","control valve"
"930","drum spec","drum spec"
"931","gas filter","gas filter"
"932","heating control","heat control"
"933","model electrical","model electrical"
"934","model fuel","model fuel"
"935","position sensor","position sensor"
"936","suction flow","suction flow"
"937","suction strainer","suction strainer"
"938","temp dropped","temperature dropped"
"939","air inlet","air inlet"
"940","attemperator outlet","attemperator outlet"
"941","compressor discharge","compressor discharge"
"942","compressor performance","compressor performance"
"943","ctg brg","ctg bearing"
"944","cv pos","cv position"
"945","fd fan","fd fan"
"946","historical data","historical data"
"947","inlet heating","inlet heat"
"948","inlet press","inlet pressure"
"949","ip attemperator","ip attemperator"
"950","lo cooler","lo cooler"
"951","nde vibrations","nde vibration"
"952","pressure stepped","pressure step"
"953","sp cond","sp cond"
"954","temp increases","temperature increase"
"955","water injection","water injection"
"956","adaptation fuel","adaptation fuel"
"957","ambient temps","ambient temperature"
"958","cleared closing","cleared close"
"959","damper position","damper position"
"960","gg exhaust","gg exhaust"
"961","hrsg lp","hrsg lp"
"962","oil press","oil pressure"
"963","piston leak","piston leak"
"964","remained elevated","remained elevated"
"965","remained steady","remained steady"
"966","trending lower","trend lower"
"967","vib brg","vibration bearing"
"968","air temperature","air temperature"
"969","bfp suction","bfp suction"
"970","cold gas","cold gas"
"971","cooling water","cooling water"
"972","de vibrations","de vibration"
"973","exciter brg","exciter bearing"
"974","gear oil","gear oil"
"975","gt bearing","gt bearing"
"976","model compressor","model compressor"
"977","model wheelspace","model wheelspace"
"978","perf alias","performance alias"
"979","poor tracking","poor track"
"980","reading low","read low"
"981","rotor vibration","rotor vibration"
"982","temperature ti","temperature ti"
"983","vibration reading","vibration read"
"984","air damper","air damper"
"985","bearing vibes","bearing vibe"
"986","cation conductivity","cation conductivity"
"987","core fuel","core fuel"
"988","cylinder exhaust","cylinder exhaust"
"989","filter diff","filter difference"
"990","fw lvl","fw level"
"991","inlet flow","inlet flow"
"992","pdi pv","pdi pv"
"993","temperature sensors","temperature sensor"
"994","temperature tag","temperature tag"
"995","turbine wheelspace","turbine wheelspace"
"996","water ph","water ph"
"997","delta pressure","delta pressure"
"998","hrsg bfp","hrsg bfp"
"999","lvl ctrl","level control"
"1000","mill motor","mill motor"
"1001","outlet press","outlet pressure"
"1002","temp tracks","temperature track"
"1003","temp xmtr","temperature xmtr"
"1004","water temperature","water temperature"
"1005","wheelspace rd","wheelspace rd"
"1006","wheelspace st","wheelspace st"
"1007","air outlet","air outlet"
"1008","air pressure","air pressure"
"1009","blowdown ph","blowdown ph"
"1010","cond pump","cond pump"
"1011","drum water","drum water"
"1012","fan differential","fan differential"
"1013","fan ob","fan ob"
"1014","fluid coupling","fluid coupling"
"1015","fwp lube","fw pump lube"
"1016","perf model","performance model"
"1017","pump nde","pump nde"
"1018","read erratically","read erratic"
"1019","reporting nans","reporting nan"
"1020","speed shaft","speed shaft"
"1021","ambient air","ambient air"
"1022","brg vibration","bearing vibration"
"1023","estimate rear","estimate rear"
"1024","exh gas","exhaust gas"
"1025","exhibiting erratic","exhibited erratic"
"1026","low speed","low speed"
"1027","phase current","phase current"
"1028","recirc flow","recirc flow"
"1029","servo current","servo current"
"1030","tracked erratically","track erratic"
"1031","trending upward","trend upward"
"1032","turb exh","turbine exhaust"
"1033","turbine outlet","turbine outlet"
"1034","turbine thrust","turbine thrust"
"1035","alias fuel","alias fuel"
"1036","alias hp","alias hp"
"1037","cold air","cold air"
"1038","drum press","drum pressure"
"1039","drum sp","drum sp"
"1040","exhaust steam","exhaust steam"
"1041","flame scanner","flame scanner"
"1042","fw valve","fw valve"
"1043","gas spread","gas spread"
"1044","gg bearing","gg bearing"
"1045","model combustor","model combustor"
"1046","perf tag","performance tag"
"1047","stack temp","stack temperature"
"1048","stator phase","stator phase"
"1049","temp avg","temperature average"
"1050","temps decreased","temperature decrease"
"1051","vlv pos","valve position"
"1052","curtailment cleared","curtailed cleared"
"1053","cv range","cv range"
"1054","drum pressure","drum pressure"
"1055","duct pressure","duct pressure"
"1056","filter differential","filter differential"
"1057","flame intensity","flame intensity"
"1058","hp ip","hp ip"
"1059","lower ambient","lower ambient"
"1060","pmp axial","pump axial"
"1061","priority notification","priority notification"
"1062","pump bearing","pump bearing"
"1063","rh attemp","rh attemperator"
"1064","sh dsh","sh dsh"
"1065","stg suction","stage suction"
"1066","temp diff","temperature difference"
"1067","temperature de","temperature de"
"1068","tracking low","track low"
"1069","turbine brg","turbine bearing"
"1070","water jacket","water jacket"
"1071","wheelspace fo","wheelspace fo"
"1072","wheelspace temps","wheelspace temperature"
"1073","ah gas","ah gas"
"1074","condensate ph","condensate ph"
"1075","delta temperature","delta temperature"
